make,model,variant,battery_capacity_kWh,motor_power_kW,vehicle_weight_kg,motor_efficiency_pct,ARAI_certified_range_km,avg_driving_speed_kmh,ambient_temperature_C,traffic_condition,real_world_range_km,log_motor_power,log_avg_speed
Tata,Curvv EV,Long Range,51.2,150,1780,92,585,27.8,18.1,1,83.8,5.017279836814924,3.3603753871419
Hyundai,Ioniq 5,Long Range AWD,69.6,225,2100,93,631,20.8,37.9,1,361.9,5.420534999272286,3.0819099697950434
BMW,iX,xDrive50,102.4,385,2590,94,635,110.4,29.7,0,474.2,5.955837369464831,4.713127327493184
Volvo,XC40 Recharge,Twin Motor,70.0,300,2170,92,438,54.3,13.1,1,347.4,5.707110264748875,4.012772908528289
Smart,#1 Pro+,Standard,54.0,200,1820,92,440,33.4,25.2,2,162.3,5.303304908059076,3.5380565643793527
BYD,Seal,Performance,78.8,390,2150,94,580,88.8,34.9,0,438.4,5.968707559985366,4.497584975308154
BYD,e6,GL,64.0,70,2380,88,415,23.4,38.3,2,283.3,4.2626798770413155,3.1945831322991562
Porsche,Taycan,Turbo S,83.2,560,2380,94,507,18.6,29.6,2,112.7,6.329720905522696,2.975529566236472
BYD,Atto 3,Extended Range,54.3,150,1750,92,521,26.1,26.6,2,426.9,5.017279836814924,3.299533727885655
MG,Windsor EV,Long Range,35.4,100,1490,91,331,27.8,30.9,2,196.9,4.61512051684126,3.3603753871419
Tata,Nexon EV,Medium Range,29.3,105,1560,91,325,21.8,25.0,2,152.9,4.663439094112067,3.126760535960395
Tata,Harrier EV,Long Range,52.1,165,1950,92,500,25.1,36.3,2,79.9,5.111987788356544,3.261935314328648
Tata,Nexon EV,Long Range,36.1,105,1610,91,465,26.8,41.6,2,132.7,4.663439094112067,3.3250360206965914
MG,Comet EV,Standard,16.0,30,840,89,230,17.8,27.1,0,193.3,3.4339872044851463,2.9338568698359033
Citroen,eC3,Shine,29.0,57,1215,89,320,32.7,16.7,2,247.3,4.060443010546419,3.517497837358316
Porsche,Taycan,4S,67.6,360,2295,94,512,31.7,17.2,0,157.9,5.8888779583328805,3.4873750779032076
BYD,Seal,Dynamic,58.5,150,1860,94,510,37.3,17.2,2,51.0,5.017279836814924,3.6454498961866
BYD,eMAX 7,Premium,62.3,150,2135,91,530,28.4,23.5,2,213.7,5.017279836814924,3.380994674344636
MG,Comet EV,Standard,16.7,30,840,89,230,85.3,20.0,0,158.7,3.4339872044851463,4.457829598089382
Maruti Suzuki,e Vitara,Medium Range,47.4,106,1620,93,400,14.6,25.4,2,197.8,4.672828834461906,2.747270914255491
BMW,i4,eDrive40,76.6,250,2125,94,590,37.9,42.4,0,317.7,5.5254529391317835,3.6609942506244004
Tata,Tiago EV,Medium Range,17.7,45,1073,90,250,27.2,34.4,0,237.5,3.828641396489095,3.339321977944068
BYD,Atto 3,Standard Range,46.6,150,1690,92,410,38.1,36.2,1,91.5,5.017279836814924,3.66612246699132
Mahindra,XUV400,EC Pro,32.3,110,1560,90,375,21.2,18.7,1,70.4,4.709530201312334,3.100092288878234
Mahindra,XUV400,EL Pro,36.4,110,1580,90,456,32.7,31.0,2,71.9,4.709530201312334,3.517497837358316
Kia,EV9,Long Range AWD,88.4,283,2630,93,561,31.1,11.0,0,88.1,5.648974238161206,3.4688560301359703
Hyundai,Ioniq 5,Long Range RWD,71.1,160,1980,93,631,20.7,37.4,1,524.3,5.081404364984463,3.077312260546414
MG,Windsor EV,Long Range,32.4,100,1490,91,331,25.9,23.6,0,64.1,4.61512051684126,3.292126286607793
