make,model,variant,battery_capacity_kWh,motor_power_kW,vehicle_weight_kg,motor_efficiency_pct,ARAI_certified_range_km,avg_driving_speed_kmh,ambient_temperature_C,traffic_condition,real_world_range_km
Tata,Curvv EV,Long Range,51.2,150,1780,92,585,27.8,18.1,1,83.8
Hyundai,Ioniq 5,Long Range AWD,69.6,225,2100,93,631,20.8,37.9,1,361.9
BMW,iX,xDrive50,102.4,385,2590,94,635,110.4,29.7,0,474.2
Volvo,XC40 Recharge,Twin Motor,70.0,300,2170,92,438,54.3,13.1,1,347.4
Smart,#1 Pro+,Standard,54.0,200,1820,92,440,33.4,25.2,2,162.3
BYD,Seal,Performance,78.8,390,2150,94,580,88.8,34.9,0,438.4
BYD,e6,GL,64.0,70,2380,88,415,23.4,38.3,2,283.3
Porsche,Taycan,Turbo S,83.2,560,2380,94,507,18.6,29.6,2,112.7
BYD,Atto 3,Extended Range,54.3,150,1750,92,521,26.1,26.6,2,426.9
MG,Windsor EV,Long Range,35.4,100,1490,91,331,27.8,30.9,2,196.9
Tata,Nexon EV,Medium Range,29.3,105,1560,91,325,21.8,25.0,2,152.9
Tata,Harrier EV,Long Range,52.1,165,1950,92,500,25.1,36.3,2,79.9
Tata,Nexon EV,Long Range,36.1,105,1610,91,465,26.8,41.6,2,132.7
MG,Comet EV,Standard,16.0,30,840,89,230,17.8,27.1,0,193.3
Citroen,eC3,Shine,29.0,57,1215,89,320,32.7,16.7,2,247.3
Porsche,Taycan,4S,67.6,360,2295,94,512,31.7,17.2,0,157.9
BYD,Seal,Dynamic,58.5,150,1860,94,510,37.3,17.2,2,51.0
BYD,eMAX 7,Premium,62.3,150,2135,91,530,28.4,23.5,2,213.7
MG,Comet EV,Standard,16.7,30,840,89,230,85.3,20.0,0,158.7
Maruti Suzuki,e Vitara,Medium Range,47.4,106,1620,93,400,14.6,25.4,2,197.8
BMW,i4,eDrive40,76.6,250,2125,94,590,37.9,42.4,0,317.7
Tata,Tiago EV,Medium Range,17.7,45,1073,90,250,27.2,34.4,0,237.5
BYD,Atto 3,Standard Range,46.6,150,1690,92,410,38.1,36.2,1,91.5
Mahindra,XUV400,EC Pro,32.3,110,1560,90,375,21.2,18.7,1,70.4
Mahindra,XUV400,EL Pro,36.4,110,1580,90,456,32.7,31.0,2,71.9
Kia,EV9,Long Range AWD,88.4,283,2630,93,561,31.1,11.0,0,88.1
Hyundai,Ioniq 5,Long Range RWD,71.1,160,1980,93,631,20.7,37.4,1,524.3
MG,Windsor EV,Long Range,32.4,100,1490,91,331,25.9,23.6,0,64.1
Rolls-Royce,Spectre,Standard,87.6,430,2975,94,530,18.8,25.4,2,403.8
BMW,i5,eDrive40,75.6,250,2215,94,582,30.4,29.8,1,70.4
Tata,Curvv EV,Long Range,52.7,150,1780,92,585,33.8,39.5,2,208.9
Mini,Countryman E,ALL4,61.5,230,2055,93,462,94.0,41.0,1,172.5
BYD,e6,GL,61.4,70,2380,88,415,30.8,18.5,2,266.8
Tata,Nexon EV,Medium Range,28.5,105,1560,91,325,18.0,17.7,1,237.4
Mahindra,XEV 9e,Long Range,53.3,175,1900,93,542,23.1,12.4,2,240.2
Mahindra,XUV400,EC Pro,31.1,110,1560,90,375,25.7,34.8,2,279.4
BMW,i7,xDrive60,87.7,400,2720,94,625,17.3,28.7,1,560.9
Tata,Punch EV,Smart,24.0,60,1280,90,315,20.0,37.6,1,299.25
Tata,Nexon EV,Prime LR,38.2,105,1620,91,465,22.3,29.3,2,144.0
Kia,EV6,Long Range AWD,67.6,239,2140,93,708,88.9,35.5,1,323.1
Tata,Nexon EV,Prime LR,35.8,105,1620,91,465,86.1,22.5,1,128.5
BYD,Seal,Performance,79.8,390,2150,94,580,20.9,31.1,1,333.7
Kia,EV9,Long Range AWD,97.1,283,2630,93,561,88.8,41.7,0,232.9
Volvo,XC40 Recharge,Twin Motor,66.2,300,2170,92,438,34.8,23.0,0,211.5
Mahindra,XUV400,EL Pro,38.9,110,1580,90,456,19.8,34.6,2,130.9
Audi,e-tron GT,RS,84.0,440,2420,94,481,29.9,14.4,2,48.1
Hyundai,Creta EV,Medium Range,40.0,110,1620,92,390,32.8,6.3,2,39.0
MG,Cloud EV,Long Range,45.3,135,1700,91,460,22.8,33.8,2,93.9
BYD,eMAX 7,Premium,62.3,150,2135,91,530,22.2,16.7,2,78.5
Tata,Nexon EV,Medium Range,30.2,105,1560,91,325,38.4,16.9,1,233.0
Smart,#1 Pro+,Standard,58.5,200,1820,92,440,20.8,25.6,2,99.1
BMW,i5,eDrive40,76.6,250,2215,94,582,17.5,39.7,1,221.5
BMW,iX,xDrive50,98.3,385,2590,94,635,18.7,36.1,1,542.5
BYD,Atto 3,Standard Range,43.6,150,1690,92,410,16.8,33.7,2,82.9
Tata,Sierra EV,Long Range,53.7,165,1900,92,480,22.5,30.9,2,362.1
Hyundai,Creta EV,Long Range,49.2,135,1690,92,473,103.0,17.2,0,249.2
Jaguar,I-PACE,EV400,76.6,294,2208,92,470,95.8,24.9,0,378.8
Toyota,Urban Cruiser EV,Long Range,56.8,144,1740,93,490,18.5,37.4,1,168.0
Volvo,XC40 Recharge,Single Motor,67.6,170,2000,92,418,34.3,29.8,2,81.8
Volvo,C40 Recharge,Single Motor,67.6,170,1990,92,476,20.0,18.2,1,117.1
Audi,e-tron,55 quattro,80.0,300,2595,92,484,59.2,20.8,0,394.2
Volvo,XC40 Recharge,Twin Motor,74.8,300,2170,92,438,18.7,27.1,2,381.7
Tata,Curvv EV,Medium Range,44.6,120,1720,92,502,39.9,19.8,1,81.3
Volvo,C40 Recharge,Single Motor,64.9,170,1990,92,476,36.3,27.5,2,53.3
BMW,iX1,xDrive30,60.6,230,2080,93,440,30.6,28.2,2,393.3
Tata,Curvv EV,Long Range,51.4,150,1780,92,585,114.1,30.7,0,311.4
Toyota,Urban Cruiser EV,Long Range,57.3,144,1740,93,490,20.5,33.0,2,124.8
BYD,Seal,Dynamic,59.4,150,1860,94,510,80.8,19.5,1,282.9
BYD,Atto 3,Extended Range,59.6,150,1750,92,521,16.2,29.0,1,231.2
BMW,iX1,xDrive30,60.8,230,2080,93,440,19.2,26.3,1,275.2
Tata,Nexon EV,Prime LR,36.5,105,1620,91,465,106.3,28.9,1,120.0
BMW,iX,xDrive50,96.4,385,2590,94,635,26.9,31.1,0,445.4
Maruti Suzuki,e Vitara,Medium Range,44.3,106,1620,93,400,18.0,40.0,2,96.7
Audi,e-tron GT,RS,73.2,440,2420,94,481,17.0,38.5,1,388.8
BYD,e6,GL,68.9,70,2380,88,415,16.6,15.4,0,140.2
BYD,Atto 3,Standard Range,47.7,150,1690,92,410,28.5,26.9,2,203.9
Porsche,Taycan,Turbo S,77.7,560,2380,94,507,29.8,6.3,0,116.8
Jaguar,I-PACE,EV400,81.7,294,2208,92,470,27.0,35.6,2,285.4
Kia,EV9,Long Range AWD,84.8,283,2630,93,561,20.2,16.3,2,82.6
Tata,Nexon EV,Long Range,37.6,105,1610,91,465,38.9,11.2,1,348.0
Tata,Tiago EV,Medium Range,18.3,45,1073,90,250,31.9,18.6,0,237.5
Kia,EV6,Long Range AWD,77.4,239,2140,93,708,22.2,19.6,2,70.8
Smart,#1 Pro+,Standard,61.6,200,1820,92,440,21.4,12.7,2,176.3
Toyota,Urban Cruiser EV,Long Range,60.6,144,1740,93,490,24.7,23.0,0,97.6
Mercedes,EQA,250+,60.9,140,1960,92,528,82.3,28.8,0,501.6
Hyundai,Creta EV,Long Range,44.2,135,1690,92,473,27.7,18.3,1,123.2
MG,Comet EV,Standard,16.1,30,840,89,230,13.9,30.7,1,80.7
BYD,Atto 3,Standard Range,44.5,150,1690,92,410,80.0,27.0,0,289.0
Maruti Suzuki,e Vitara,Medium Range,48.3,106,1620,93,400,12.3,41.1,2,78.3
Volvo,C40 Recharge,Single Motor,62.2,170,1990,92,476,16.0,25.9,2,174.8
Porsche,Taycan,Turbo S,75.2,560,2380,94,507,82.2,42.6,2,221.3
Porsche,Taycan,4S,71.8,360,2295,94,512,80.3,42.0,0,486.4
Tata,Nexon EV,Long Range,34.9,105,1610,91,465,104.3,19.6,0,274.8
Citroen,eC3,Shine,27.2,57,1215,89,320,36.2,17.6,0,304.0
BMW,i4,eDrive40,74.9,250,2125,94,590,25.8,17.6,2,272.8
Tata,Sierra EV,Long Range,58.0,165,1900,92,480,18.0,37.3,1,456.0
Mahindra,BE 6,Long Range,55.1,175,1850,93,556,17.4,14.7,1,73.5
Mahindra,XUV400,EC Pro,33.6,110,1560,90,375,28.1,19.5,2,48.9
BYD,e6,GL,65.5,70,2380,88,415,42.3,27.3,0,394.25
Smart,#1 Pro+,Standard,54.4,200,1820,92,440,117.6,42.0,0,165.9
Hyundai,Creta EV,Long Range,48.9,135,1690,92,473,18.0,12.6,2,188.3
Tata,Sierra EV,Long Range,58.4,165,1900,92,480,44.9,34.9,0,456.0
BYD,e6,GL,64.2,70,2380,88,415,28.2,41.5,0,394.25
Porsche,Taycan,Turbo S,77.7,560,2380,94,507,22.8,41.7,2,344.0
Audi,Q8 e-tron,55 quattro,85.6,300,2620,93,582,18.4,19.0,2,322.2
Tata,Curvv EV,Medium Range,42.3,120,1720,92,502,26.0,12.2,2,272.9
Citroen,eC3,Feel,27.0,57,1200,89,320,23.5,35.3,1,120.2
Mahindra,XUV.e8,Long Range,56.8,175,2050,92,450,89.6,25.8,1,325.8
MG,Windsor EV,Long Range,37.0,100,1490,91,331,38.0,19.3,0,314.45
BYD,eMAX 7,Premium,64.9,150,2135,91,530,33.4,12.6,0,169.0
Volvo,XC40 Recharge,Twin Motor,68.2,300,2170,92,438,36.4,33.8,2,114.1
Hyundai,Creta EV,Long Range,48.3,135,1690,92,473,22.1,14.4,0,77.3
Porsche,Taycan,Turbo S,71.4,560,2380,94,507,81.6,21.3,1,397.4
Mahindra,BE 6,Long Range,54.0,175,1850,93,556,113.7,25.1,1,212.2
MG,Cloud EV,Long Range,45.1,135,1700,91,460,35.0,25.2,2,201.0
BMW,i5,eDrive40,69.3,250,2215,94,582,26.9,38.9,1,217.2
Hyundai,Ioniq 5,Long Range RWD,66.3,160,1980,93,631,27.7,24.2,1,246.1
Maruti Suzuki,e Vitara,Long Range,59.5,144,1710,93,500,31.2,41.3,0,475.0
Tata,Curvv EV,Long Range,53.7,150,1780,92,585,30.5,19.1,0,134.4
Smart,#1 Pro+,Standard,56.6,200,1820,92,440,34.8,35.1,2,90.9
BMW,i5,eDrive40,71.2,250,2215,94,582,29.5,18.8,2,238.7
Mahindra,XUV400,EL Pro,35.7,110,1580,90,456,41.0,42.2,0,391.3
Volvo,C40 Recharge,Single Motor,59.7,170,1990,92,476,30.0,39.1,0,150.1
Tata,Nexon EV,Medium Range,27.7,105,1560,91,325,15.3,37.5,1,228.2
BMW,iX,xDrive50,103.0,385,2590,94,635,76.7,41.4,1,334.1
Tata,Sierra EV,Long Range,56.9,165,1900,92,480,37.7,30.5,0,456.0
BYD,Atto 3,Standard Range,48.4,150,1690,92,410,25.1,37.7,2,231.1
Hyundai,Creta EV,Long Range,51.4,135,1690,92,473,39.3,34.3,2,92.4
BYD,eMAX 7,Premium,63.0,150,2135,91,530,27.3,22.3,0,69.7
Audi,e-tron GT,RS,83.7,440,2420,94,481,25.1,25.1,1,56.4
Kia,EV6,Long Range AWD,66.5,239,2140,93,708,24.6,35.6,2,194.0
BYD,Seal,Dynamic,58.5,150,1860,94,510,23.4,22.9,2,259.9
